protein1,protein2,Bait,Prey,GeneName,crisprKD,crisprContrast
9606.ENSP00000351777,9606.ENSP00000357879,Rv2074,P55072,VCP,PSMD4,high_IFNB
9606.ENSP00000351811,9606.ENSP00000264951,Apa,Q6P2E9,EDC4,XRN1,TNFpos_iNOSpos-unsorted
9606.ENSP00000352257,9606.ENSP00000267415,ESPR,P12956,XRCC6,TINF2,TNFpos_iNOSpos-unsorted
9606.ENSP00000352257,9606.ENSP00000258149,ESPR,P12956,XRCC6,MDM2,TNFpos_iNOSpos-unsorted
9606.ENSP00000352257,9606.ENSP00000482313,ESPR,P12956,XRCC6,RECQL4,TNFpos_iNOSneg-unsorted
9606.ENSP00000352257,9606.ENSP00000325863,ESPR,P12956,XRCC6,MRE11,TNFpos_iNOSneg-unsorted
9606.ENSP00000352400,9606.ENSP00000379182,Espb,P35658,NUP214,RAE1,TNFpos_iNOSneg-unsorted
9606.ENSP00000355778,9606.ENSP00000395654,ESPR,P84243,H3F3A,SMARCA4,TNFpos_iNOSneg-unsorted
9606.ENSP00000355778,9606.ENSP00000378295,ESPR,P84243,H3F3A,INCENP,high_IFNB
9606.ENSP00000355778,9606.ENSP00000383333,ESPR,P84243,H3F3A,MORC3,TNFpos_iNOSpos-unsorted
9606.ENSP00000355890,9606.ENSP00000216027,Rv2469c,P07814,EPRS,HSCB,TNFpos_iNOSpos-unsorted
9606.ENSP00000355890,9606.ENSP00000362576,Rv2469c,P07814,EPRS,YARS1,TNFpos_iNOSneg-unsorted
9606.ENSP00000355890,9606.ENSP00000364794,Rv2469c,P07814,EPRS,IARS1,TNFpos_iNOSpos-unsorted
9606.ENSP00000356548,9606.ENSP00000324464,Rv2074,Q96GA3,LTV1,CSNK1D,TNFpos_iNOSpos-unsorted
9606.ENSP00000356548,9606.ENSP00000345957,Rv2074,Q96GA3,LTV1,RPS21,TNFpos_iNOSneg-unsorted
9606.ENSP00000356548,9606.ENSP00000341885,Rv2074,Q96GA3,LTV1,RPS2,TNFpos_iNOSpos-unsorted
9606.ENSP00000356548,9606.ENSP00000336799,Rv2074,Q96GA3,LTV1,TUBA1B,TNFpos_iNOSneg-unsorted
9606.ENSP00000359297,9606.ENSP00000307288,Pe25,Q15738,NSDHL,MCM2,high_IFNB
9606.ENSP00000360293,9606.ENSP00000373905,Rv0999,Q9BX66,SORBS1,DNM2,high_IFNB
9606.ENSP00000361993,9606.ENSP00000378588,Rv2469c,O60220,TIMM8A,TIMM9,TNFpos_iNOSneg-unsorted
9606.ENSP00000365042,9606.ENSP00000328854,Rv1816,P67870,CSNK2B,NOC4L,TNFpos_iNOSneg-unsorted
9606.ENSP00000365042,9606.ENSP00000229214,Rv1816,P67870,CSNK2B,KRR1,TNFpos_iNOSneg-unsorted
9606.ENSP00000365439,9606.ENSP00000366604,Rv1075c,P61978,HNRNPK,SF1,TNFpos_iNOSneg-unsorted
9606.ENSP00000365439,9606.ENSP00000313007,Rv1075c,P61978,HNRNPK,PABPC1,TNFpos_iNOSpos-unsorted
9606.ENSP00000365439,9606.ENSP00000258149,Rv1075c,P61978,HNRNPK,MDM2,TNFpos_iNOSpos-unsorted
9606.ENSP00000365439,9606.ENSP00000376345,Rv1075c,P61978,HNRNPK,GRB2,TNFpos_iNOSneg-unsorted
9606.ENSP00000365439,9606.ENSP00000400433,Rv1075c,P61978,HNRNPK,HNRNPF,TNFpos_iNOSpos-unsorted
9606.ENSP00000366604,9606.ENSP00000215793,Lpqn,Q15637,SF1,SF3A1,TNFpos_iNOSneg-unsorted
9606.ENSP00000366604,9606.ENSP00000400433,Lpqn,Q15637,SF1,HNRNPF,TNFpos_iNOSpos-unsorted
9606.ENSP00000366604,9606.ENSP00000416951,Lpqn,Q15637,SF1,ZC3H18,TNFpos_iNOSneg-unsorted
9606.ENSP00000369915,9606.ENSP00000220849,Lpqn,Q99733,NAP1L4,EIF3E,TNFpos_iNOSneg-unsorted
9606.ENSP00000369915,9606.ENSP00000339109,Lpqn,Q99733,NAP1L4,ANAPC1,TNFpos_iNOSneg-unsorted
9606.ENSP00000369915,9606.ENSP00000353549,Lpqn,Q99733,NAP1L4,CDC16,TNFpos_iNOSneg-unsorted
9606.ENSP00000369965,9606.ENSP00000341885,Rv1827,P20290,BTF3,RPS2,TNFpos_iNOSpos-unsorted
9606.ENSP00000369965,9606.ENSP00000464342,Rv1827,P20290,BTF3,RPL36,TNFpos_iNOSneg-unsorted
9606.ENSP00000369965,9606.ENSP00000346015,Rv1827,P20290,BTF3,RPL27A,TNFpos_iNOSneg-unsorted
9606.ENSP00000369965,9606.ENSP00000222247,Rv1827,P20290,BTF3,RPL18A,TNFpos_iNOSneg-unsorted
9606.ENSP00000369965,9606.ENSP00000361076,Rv1827,P20290,BTF3,RPL7A,TNFpos_iNOSneg-unsorted
9606.ENSP00000370745,9606.ENSP00000325863,Lpqn,Q92499,DDX1,MRE11,TNFpos_iNOSneg-unsorted
9606.ENSP00000373312,9606.ENSP00000367721,Apa,P55735,SEC13,NUP160,low_IFNB
9606.ENSP00000373312,9606.ENSP00000355465,Apa,P55735,SEC13,AHCTF1,TNFpos_iNOSneg-unsorted
9606.ENSP00000373312,9606.ENSP00000432768,Apa,P55735,SEC13,CKAP5,TNFpos_iNOSneg-unsorted
9606.ENSP00000373905,9606.ENSP00000376345,Apa,P50570,DNM2,GRB2,TNFpos_iNOSneg-unsorted
9606.ENSP00000375777,9606.ENSP00000317334,Rv1804c,Q9NRL3,STRN4,TCP1,TNFpos_iNOSneg-unsorted
9606.ENSP00000375863,9606.ENSP00000199814,Espb,Q9BUJ2,HNRNPUL1,RBM22,TNFpos_iNOSneg-unsorted
9606.ENSP00000375863,9606.ENSP00000366604,Espb,Q9BUJ2,HNRNPUL1,SF1,TNFpos_iNOSneg-unsorted
9606.ENSP00000375863,9606.ENSP00000400433,Espb,Q9BUJ2,HNRNPUL1,HNRNPF,TNFpos_iNOSpos-unsorted
9606.ENSP00000375978,9606.ENSP00000325863,ESPR,P13010,XRCC5,MRE11,TNFpos_iNOSneg-unsorted
9606.ENSP00000375978,9606.ENSP00000482313,ESPR,P13010,XRCC5,RECQL4,TNFpos_iNOSneg-unsorted
9606.ENSP00000375978,9606.ENSP00000362576,ESPR,P13010,XRCC5,YARS1,TNFpos_iNOSneg-unsorted
9606.ENSP00000376297,9606.ENSP00000379182,Pe35,P63167,DYNLL1,RAE1,TNFpos_iNOSneg-unsorted
9606.ENSP00000376505,9606.ENSP00000454207,Rv1804c,Q92844,TANK,CAP1,TNFpos_iNOSneg-unsorted
9606.ENSP00000376505,9606.ENSP00000398698,Rv1804c,Q92844,TANK,TNF,TNFpos_iNOSneg-unsorted
9606.ENSP00000376505,9606.ENSP00000430684,Rv1804c,Q92844,TANK,IKBKB,TNFpos_iNOSneg-unsorted
9606.ENSP00000377793,9606.ENSP00000300093,ESAT6,O43663,PRC1,PLK1,TNFpos_iNOSneg-unsorted
9606.ENSP00000377793,9606.ENSP00000336799,ESAT6,O43663,PRC1,TUBA1B,TNFpos_iNOSneg-unsorted
9606.ENSP00000377793,9606.ENSP00000416951,ESAT6,O43663,PRC1,ZC3H18,TNFpos_iNOSneg-unsorted
9606.ENSP00000377793,9606.ENSP00000404190,ESAT6,O43663,PRC1,RACGAP1,TNFpos_iNOSneg-unsorted
