MouseSymbol,mouseUPID
Akap13,E9Q394
Akap14,Q3V0I7
Akap17b,A2A3V1
Akap17b,A2A3V1
Akap3,O88987
Akap4,Q60662
Akap5,D3YVF0
Akap6,Q6ZQD9
Akap7,Q7TN79
Akap8,Q9DBR0
Akap8l,Q9D0K8
Akap9,Q70FJ1
Akip1,Q9JJR5
Akirin1,Q99LF1
Akirin2,B1AXD8
Akna,Q80VW7
Aknad1,Q8BI23
Akr1a1,Q9JII6
Akr1b3,P45376
Akr1b10,S4R2G9
Akr1b7,Q5M9J9
Akr1b8,P45377
Akr1b10,S4R2G9
Akr1b7,Q5M9J9
Akr1b8,P45377
Akr1c12,Q9R0M7
Akr1c13,Q8VC28
Akr1c14,Q91WT7
Akr1c18,Q8K023
Akr1c19,Q5I0T6
Akr1c20,Q9CZU0
Akr1c21,Q91WR5
Akr1c6,Q3UEM0
Akr1cl,Q9D5U2
Akr1c12,Q9R0M7
Akr1c13,Q8VC28
Akr1c14,Q91WT7
Akr1c18,Q8K023
Akr1c19,Q5I0T6
Akr1c20,Q9CZU0
Akr1c21,Q91WR5
Akr1c6,Q3UEM0
Akr1cl,Q9D5U2
Akr1c12,Q9R0M7
Akr1c13,Q8VC28
Akr1c14,Q91WT7
Akr1c18,Q8K023
Akr1c19,Q5I0T6
Akr1c20,Q9CZU0
Akr1c21,Q91WR5
Akr1c6,Q3UEM0
Akr1cl,Q9D5U2
Akr1c12,Q9R0M7
Akr1c13,Q8VC28
Akr1c14,Q91WT7
Akr1c18,Q8K023
Akr1c19,Q5I0T6
Akr1c20,Q9CZU0
Akr1c21,Q91WR5
Akr1c6,Q3UEM0
Akr1cl,Q9D5U2
Akr1d1,Q8VCX1
Akr1e1,Q9DCT1
Akr7a5,Q8CG76
Akr7a5,Q8CG76
Akr7a5,Q8CG76
Akt1,P31750
Akt1s1,Q9D1F4
Akt2,Q8CE74
Akt3,Q8C6X4
Aktip,Q64362
Alad,P10518
Alas1,Q8VC19
Alas2,P08680
Alb,P07724
Alcam,Q61490
Aldh16a1,Q571I9
Aldh18a1,Q9Z110
Aldh1a1,P24549
Aldh1a7,O35945
Aldh1a2,Q62148
Aldh1a3,Q9JHW9
Aldh1b1,Q9CZS1
Aldh1l1,Q9CVJ8
Aldh1l2,Q8K009
Aldh2,Q544B1
Aldh3a1,P47739
Aldh3a2,P47740
Aldh3b1,Q80VQ0
Aldh3b2,E9Q3E1
Aldh3b3,J3QMK6
Aldh4a1,Q8CHT0
Aldh5a1,Q8BWF0
Aldh6a1,Q9EQ20
Aldh7a1,Q9DBF1
Aldh8a1,Q8BH00
Aldh9a1,Q9JLJ2
Aldoa,D3Z510
Aldob,Q91Y97
Aldoc,P05063
Alg1,Q921Q3
Alg10b,Q3UGP8
Alg10b,Q3UGP8
Alg11,Q3TZM9
Alg12,Q8VDB2
Alg13,Q9D8C3
Alg14,Q9D081
Alg1,Q921Q3
Alg1,Q921Q3
Alg2,Q9DBE8
Alg3,Q8K2A8
Alg5,Q9D0Q9
Alg6,Q3TAE8
Alg8,Q6P8H8
Alg9,Q8VDI9
Alk,P97793
Alkal1,J3QPP8
Alkal2,Q80UG6
Alkbh1,Q5XLJ1
Alkbh2,Q6P6J4
Alkbh3,A2AKV7
Alkbh4,Q9D8F1
Alkbh5,Q3TSG4
Alkbh6,Q8K2U2
Alkbh7,Q9D6Z0
Alkbh8,Q80Y20
Allc,Q9JHX6
Alms1,Q8K4E0
Alox12,P39655
Alox12b,Q9D2Q4
Alox15,P39654
Alox8,O35936
Alox5,P48999
Alox5ap,P30355
Aloxe3,Q9WV07
Akp3,Q1LZM2
Alpi,Q0VD75
Alppl2,P24823
Akp3,Q1LZM2
Alpi,Q0VD75
Alppl2,P24823
Alpk1,Q9CXB8
Alpk2,Q91ZB0
Alpk3,Q924C5
Alpl,P09242
Akp3,Q1LZM2
Alpi,Q0VD75
Alppl2,P24823
Als2,Q920R0
Als2cl,Q60I26
Alx1,Q8C8B0
Alx3,Q3UQX2
Alx4,A2AIK5
4931428L18Rik,Q9D4S9
Alyref,O08583
Alyref2,Q9JJW6
Gm21293,M0QWR4
Gm4301,K9J7E2
Gm4302,E9PX25
Gm4303,E9PZY4
Gm4305,E9PZY4
Gm4307,E9PZY4
Gm4312,K9J7E2
Gm4340,M0QWS9
Gm5698,A0A3B2W7J0
Amacr,O09174
Ambn,Q9CU73
Ambp,Q07456
Ambra1,A2AH22
Amd1,P0DMN7
Amd2,D3Z6H8
Amdhd1,Q9DBA8
Amdhd2,Q8JZV7
Amelx,P63277
Amelx,P63277
Amer1,Q7TS75
Amer2,Q8CCJ4
Amer3,Q6NS69
Amfr,Q9R049
Amh,P27106
Amhr2,Q8K592
Amigo1,Q80ZD8
Amigo2,Q4VBE6
Amigo3,Q8C2S7
Ammecr1,Q8K2F2
Ammecr1l,Q3V0N3
Amn,Q99JB7
Amn1,B8JKU9
Amot,Q8VHG2
Amotl1,Q9D4H4
